procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0  65352   9496   1032  32660    0    0     0     0  489  419 10  3 87  0
 0  0  65336   9496   1032  32676    0    0     0     0 1094 1188 14  7 79  0
 0  0  65312   9372   1032  32724   80    0   128     0  808  768 14  6 79  0
 0  0  65304   9248   1032  32712   28    0    28     0  618  584 12  4 85  0
 0  0  65292   9124   1040  32756    0    0     0   356 1139 1148 16 10 74  0
 0  0  65276   9124   1040  32744   32    0    32     0  580  531 10  4 86  0
 1  0  65252   9124   1040  32772   16    0    16     0  903  892 15  7 78  0
 0  0  65244   9124   1040  32792    0    0     0     0  837  828 11  7 82  0
 0  0  65236   9124   1040  32800    0    0     0     0  680  663 11  4 85  0
 1  0  65228   9124   1048  32808    0    0     0    84  978  936 13  8 79  0
 0  0  65224   9124   1048  32816    0    0     0     0  805  770 13  6 81  0
 1  0  65212   9124   1048  32820   12    0    12     0  891  900 12  7 82  0
 0  0  65200   9124   1048  32844    0    0     0     0  808  785 13  4 83  0
 1  0  65196   9124   1048  32840    8    0     8     0  714  679 11  7 82  0
 0  0  65192   9000   1056  32860    0    0     0    16  884  801 14  7 79  0
 0  0  65188   9000   1056  32848   24    0    24     0  855  814 16  7 76  0
 1  0  65176   8876   1056  32848   40    0    40     0  850  783 13  8 78  0
 1  0  65176   8876   1056  32888    0    0     0     0  817  783 13  6 81  0
 0  0  65164   8876   1056  32912    0    0     0     0  793  745 11  4 85  0
 2  0  65160   8876   1064  32908    0    0     0    12  730  738 12  5 83  0
 0  0  65160   8752   1064  32920    0    0     0     0  859  832 13  5 82  0
 1  0  65156   8628   1064  32928    0    0     0     0  918  932 13  6 81  0
 1  0  65148   8628   1064  32940    4    0     4     0  764  696 12  5 83  0
 1  0  65144   8628   1064  32948    0    0     0     0  830  809 13  7 80  0
 0  1  65384  10752    932  30760   28  252    28   556 1448  867 16  8 47 29
 0  0  65460  11248    924  30284   28   84    28    84  752  723 12  5 81  1
 0  0  65460  11248    924  30292    0    0     0     0  871  857 13  5 82  0
 0  0  65460  11280    924  30304    0    0     0     0  862  854 13  8 80  0
 1  0  65440  11280    924  30316   40    0    40     0  730  701 12  4 83  0
 1  0  65416  11280    932  30324    0    0     0    16  828  845 12  7 81  0
 0  0  65400  11280    932  30336   40    0    40     0  832  702 15  5 80  0
 0  0  65344  11280    932  30352   52    0    52     0  867  781 13  7 80  0
 0  0  65344  11280    932  30356    0    0     0     0  793  738 12  7 81  0
 1  0  65344  11280    932  30364    0    0     0     0  769  733 12  5 83  0
 0  0  65344  11280    940  30364    0    0     0    20  792  776 15  5 80  0
 1  0  65316  11280    940  30384   28    0    28     0  820  839 11  5 83  0
 1  0  65312  11280    940  30392    0    0     0     0  730  647 11  6 83  0
 1  0  65308  11280    940  30400    0    0     0     0  705  634 12  4 84  0
 2  0  65308  11280    940  30408    0    0     0     0  528  500 10  2 88  0
 0  0  65304  11280    948  30404    0    0     0   164  523  458  9  3 88  0
 0  0  65304  11280    948  30416    0    0     0     0  624  535 12  3 85  0
 1  0  65304  11280    948  30420    0    0     0     0  490  400  8  4 88  0
 1  0  65288  11280    948  30420    0    0     0     0  385  348  9  1 90  0
 0  0  65288  11280    948  30424    0    0     0     0  325  286  8  1 92  0
MEDIA
NR:  187 CPU:  54.4486
